Date,Open,High,Low,Close,Volume
05/10/2022,"128.30","129.28","126.08","126.37","4,712,286"
05/09/2022,"128.00","128.99","127.46","127.73","4,991,751"
05/06/2022,"130.35","130.76","128.76","129.59","3,211,815"
05/05/2022,"132.24","132.39","129.57","130.32","4,020,244"
05/04/2022,"130.77","132.83","130.49","132.60","2,792,363"
05/03/2022,"130.01","132.08","129.89","130.97","1,653,417"
05/02/2022,"130.02","130.39","128.26","129.70","4,452,101"
04/29/2022,"131.05","131.80","129.65","129.75","2,569,514"
04/28/2022,"130.54","132.05","130.10","131.45","2,793,820"
04/27/2022,"129.87","130.61","129.01","129.68","2,200,929"
04/26/2022,"131.10","132.47","130.02","130.15","6,414,853"
04/25/2022,"132.13","132.51","129.93","131.60","6,535,152"
04/22/2022,"137.20","137.36","132.72","132.76","10,169,700"
04/21/2022,"139.75","140.75","138.51","138.57","12,608,800"
04/20/2022,"139.08","139.89","138.68","139.01","2,329,554"
04/19/2022,"137.70","138.92","137.20","138.72","8,113,037"
04/18/2022,"136.86","137.92","136.60","137.18","6,277,807"
04/14/2022,"136.50","137.55","136.50","136.86","8,609,602"
04/13/2022,"135.95","136.54","135.29","136.40","2,725,124"
04/12/2022,"137.55","138.24","135.80","136.45","3,627,798"
04/11/2022,"137.01","138.41","136.80","137.56","3,193,906"
04/08/2022,"135.99","137.22","135.67","136.66","2,162,154"
04/07/2022,"137.15","137.31","134.85","135.57","4,249,094"
04/06/2022,"137.30","137.86","136.46","137.15","2,832,447"
04/05/2022,"137.69","139.20","137.52","137.99","3,716,201"
04/04/2022,"137.00","138.62","136.55","138.23","3,387,207"
04/01/2022,"138.38","138.63","136.24","137.32","2,638,850"
03/31/2022,"139.92","140.45","137.64","137.64","3,097,408"
03/30/2022,"140.49","140.69","139.00","139.88","3,701,560"
03/29/2022,"141.90","142.27","140.25","140.37","2,029,106"
03/28/2022,"141.41","141.74","140.20","140.82","4,324,562"
03/25/2022,"140.63","141.68","140.39","141.28","2,855,344"
03/24/2022,"141.28","141.47","139.82","140.49","1,808,838"
03/23/2022,"142.56","142.63","140.17","140.39","2,567,207"
03/22/2022,"143.00","144.15","142.85","142.96","2,030,178"
03/21/2022,"142.50","142.95","141.97","142.71","1,742,175"
03/18/2022,"141.72","142.52","140.56","142.13","10,546,570"
03/17/2022,"140.68","141.88","140.17","141.75","1,822,800"
03/16/2022,"141.59","142.05","139.61","140.85","3,093,716"
03/15/2022,"139.51","140.47","138.32","140.08","3,078,800"
03/14/2022,"138.87","140.58","137.97","139.08","3,667,657"
03/11/2022,"138.40","139.64","138.01","138.15","3,352,943"
03/10/2022,"137.10","138.75","136.90","138.31","1,974,022"
